"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"108727C3-DF68-9215-BAE94296FF9EDA15","CLYDE COOPER'S BARBECUE","327 S WILMINGTON ST ","RALEIGH","NC","27601","","","19198327614"

"1089EAE9-91A5-E568-D745DD9818CEB333","NEW RAINBOW CHINESE RESTAURANT","3427 N Main St ","FUQUAY-VARINA","NC","27526","","","19195678272"

"10972","THE GREAT","243 GRANDE HEIGHTS  DR ","CARY","NC","27513","","","111111111111111"

"10AAB7A0-568B-ED86-1C7A14F3077A78C9","Daly Cafe and Pub at Holiday Inn","930 Airport BLVD ","MORRISVILLE","NC","27560","","","19194651910"

"10B95BE1-C6ED-6ED7-77651B9EDEF0A73C","RANDY'S PIZZA","2458 WYCLIFF RD ","RALEIGH","NC","27607","","","19193225990"

"10B98070-D0B7-842B-F98616B45457ED55","HWY 55 BURGERS SHAKES & FRIES","3421 N MAIN ST ","FUQUAY VARINA","NC","27526","","","111111111111111"

"10CCCF7C-1447-1195-3E3A106F4313A94F","RED BOWL ASIAN BISTRO","2020 BOULDERSTONE WAY ","CARY","NC","27519","","","19193889977"

"10D20211-F51D-C965-289835667F477C67","MASSEY'S OLE TIMEY HOT DOGS","107 S FIRST AVE ","KNIGHTDALE","NC","27545","","",""

"10D8C2DC-15E0-B1E5-8A51E3137020AC26","SMITHFIELD'S CHICKEN'N BAR-B-Q","7911 FAYETTEVILLE RD ","RALEIGH","NC","27603","","","19196619151"

"10DD7DEB-1058-14BD-B40F144186CBE497","HWY 55 BURGERS, SHAKES, & FRIES","3421 N MAIN ST ","FUQUAY VARINA","NC","27526","","","19195673007"

"10E3B019-E45C-6A2B-B7A3DB9F3521FDF5","Poppy Seed Market","8801-107 Lead Mine RD ","RALEIGH","NC","27615","","","19198708997"

"10EF63F4-5056-A20B-FA2ABA1BD52A72BB","XL SIDELINE, LLC","1016 INVESTMENT BLVD ","APEX","NC","27502","","","19193872955"

"11048","Bruegger's Bagel Bakery #721","222-117 GLENWOOD AVE ","RALEIGH","NC","27603","","","111111111111111"

"11056374-899F-A798-6087829993B5179F","LATIN QUARTERS","7335 SIX FORKS  RD ","RALEIGH","NC","27615","","","19199008333"

"11080CC7-D654-1517-5E77B2CB01C523BF","THE CORNER TAVERN & GRILL","1303-03 NW MAYNARD RD ","CARY","NC","27513","","","1111111111919"

"110E1E5C-A811-A68A-34B211CA88A71F77","Arby's #7814","2601 Wake Forest RD ","RALEIGH","NC","27609","","","19198326885"

"110FC29B-C6B5-2C82-4A376391A25D5009","CASE DINING HALL","240 JETER DR ","RALEIGH","NC","27695","","","19195152100"

"11162B11-B128-14FC-31E5CEB56293B170","WAFFLE HOUSE #1279","7605 KNIGHTDALE BLVD ","KNIGHTDALE","NC","27545","","","19192174112"

"11207","Brooklyn Heights","605 Glenwood AVE ","RALEIGH","NC","27603","","","111111111111111"

"11419","Los Tres Vaqueros #2","435 CHAPANOKE RD ","RALEIGH","NC","27603","","","111111111111111"

"1149E92F-113F-7D26-5A4FFD3E66E170B6","Arby's #6657","9221 Fairbanks RD ","RALEIGH","NC","27613","","","19196764034"

"11533","Backfins Crabhouse","110 S White  ST ","WAKE FOREST","NC","27587","","","111111111111111"

"11634540-F152-1361-31141526242A1DF3","Jumbo China","13200-121 New Falls of Neuse RD ","RALEIGH","NC","27614","","","19198618858"

"116A52F7-1422-201B-19862EE247191797","Arby's #6335","1300 E 5th AVE ","GARNER","NC","27529","","","19196622241"

"116E4598-726F-F167-A6BCA48C0D11F8A9","MCDONALD'S #27548","3494 KILDAIRE FARM RD ","CARY","NC","27518","","","19193639960"

