business_id,name,address,city,state,postal_code,latitude,longitude,phone_number
FA0000476,"ASU COFFEE SHOP","370 W COURT ST STE A",SAN BERNARDINO,CA,92401,34.1056110000,-117.2911470000,9098895555

FA0000482,"DAIRY QUEEN","25635 CRUCERO RD ",LUDLOW,CA,92338,34.7261800000,-116.1631290000,7607334239

FA0000483,"BASKIN-ROBBINS","7379 MILLIKEN AV 130",RANCHO CUCAMONGA,CA,91730,34.1197290000,-117.5582890000,9094811130

FA0000484,"BEST FOOD & GAS","15188 MAIN ST A",HESPERIA,CA,92345,34.4272130000,-117.3319770000,7609569008

FA0000487,"DEL TACO ","4344 UNIVERSITY PKWY ",SAN BERNARDINO,CA,92407,34.1669390000,-117.3325200000,9094739512

FA0000490,"MA ROUGE COFFEE HOUSE","55844 TWENTYNINE PALMS HWY ",YUCCA VALLEY,CA,92284,34.1197000000,-116.4455190000,7607747759

FA0000493,"CIRCLE K ","4008 GRAND AV ",CHINO,CA,91710,33.9975220000,-117.7172700000,9096130516

FA0000497,"DOMINO'S","41234 BIG BEAR BL ",BIG BEAR LAKE,CA,92315,34.2436760000,-116.9024570000,9098663555

FA0000499,"G & M OIL COMPANY ","159 S EUCLID BL ",UPLAND,CA,91786,34.0935950000,-117.6514550000,9099829395

FA0000502,"SUBWAY ","936 N MOUNTAIN AV ",ONTARIO,CA,91762,34.0752200000,-117.6700190000,9093912040

FA0000503,"YOGURTLAND","10798 FOOTHILL BL UNIT 110",RANCHO CUCAMONGA,CA,91730,34.1067330000,-117.5692800000,9099413337

FA0000509,"JACK IN THE BOX ","13137 MAIN ST ",HESPERIA,CA,92345,34.4265410000,-117.3765840000,7602446704

FA0000512,"HOLLOWAY'S MARINA / RV PARK","398 EDGEMOOR RD ",BIG BEAR LAKE,CA,92315,34.2448490000,-116.9342520000,9098665706

FA0000513,"EL COYOTE LOCO","31455 HWY 18 ",LUCERNE VALLEY,CA,92356,34.4435770000,-116.9776680000,7602482482

FA0000516,"TOM'S ","1280 ALABAMA ",REDLANDS,CA,92374,34.0699540000,-117.2086010000,9093079742

FA0000518,"AYRES SUITES","4370 MILLS CR ",ONTARIO,CA,91764,34.0713790000,-117.5564320000,9094810703

FA0000520,"CARL'S JR ","5295 HOLT BL ",MONTCLAIR,CA,91763,34.0630020000,-117.6906790000,9092925655

FA0000521,"ARCO NAZM GROUP INC","3225 LITTLE LEAGUE DR STE A",SAN BERNARDINO,CA,92407,34.1929040000,-117.3620290000,9098801549

FA0000523,"PANDA BOWL","1213 WABASH AV ",REDLANDS,CA,92374,34.0691050000,-117.1390490000,9093890082

FA0000527,"WATER AND ICE","2780 E RIVERSIDE DR STE B",ONTARIO,CA,91761,34.0189580000,-117.5904660000,9096730451

FA0000528,"FONTANA SEAFOOD MARKET","9281 SIERRA AV ",FONTANA,CA,92335,34.0854910000,-117.4355500000,9095740288

FA0000530,"ROOM TO ROOM","40768 VILLAGE DR ",BIG BEAR LAKE,CA,92315,34.2401020000,-116.9125000000,9098664464

FA0000531,"RAINFOREST CAFE","4810 MILLS CR ",ONTARIO,CA,91764,34.0706860000,-117.5466310000,9099417979

FA0000532,"PHO SAI GON","8802 BASELINE RD STE A",RANCHO CUCAMONGA,CA,91701,34.1217130000,-117.6143900000,9099891382

FA0000533,"JACK IN THE BOX ","2458 S VINEYARD AV ",ONTARIO,CA,91761,34.0289560000,-117.6111340000,9099235743

FA0000537,"ELM SHELL","11108 FOOTHILL BL ",RANCHO CUCAMONGA,CA,91730,34.1067530000,-117.5611130000,9093929155

FA0000539,"BURGER KING ","487 W HIGHLAND AV ",SAN BERNARDINO,CA,92405,34.1358610000,-117.2936920000,9098868470

FA0000540,"JACK IN THE BOX ","3910 SIERRA AV",FONTANA,CA,92336,34.1835210000,-117.4380260000,9094290170

FA0000543,"GNC ","20162 HWY 18 J",APPLE VALLEY,CA,92307,34.5286180000,-117.2236140000,7602424710

FA0000548,"CALICO SWEET SHOP","36600 GHOST TOWN RD ",YERMO,CA,92398,34.9049050000,-116.8285180000,7602542150

