business_id,score,date,type
09FOOD-0271,96,20140313,routine

09FOOD-0272,100,20150320,routine

09FOOD-0272,100,20141028,routine

09FOOD-0272,94,20140318,routine

09FOOD-0274,87,20150413,routine

09FOOD-0274,100,20141117,followup

09FOOD-0274,88,20141104,routine

09FOOD-0274,97,20140423,followup

09FOOD-0274,80,20140414,routine

09FOOD-0275,100,20150320,followup

09FOOD-0275,91,20150309,routine

09FOOD-0275,95,20141029,routine

09FOOD-0275,95,20140306,routine

09FOOD-0276,92,20150430,routine

09FOOD-0276,100,20141209,routine

09FOOD-0276,94,20140318,routine

09FOOD-0277,99,20150512,routine

09FOOD-0277,100,20141117,routine

09FOOD-0277,100,20140319,routine

09FOOD-0278,94,20150218,routine

09FOOD-0278,86,20140131,routine

09FOOD-0279,100,20150123,routine

09FOOD-0279,100,20141022,routine

09FOOD-0279,100,20140418,routine

09FOOD-0281,99,20150513,routine

09FOOD-0281,100,20141021,routine

09FOOD-0281,96,20140611,routine

09FOOD-0282,99,20150420,routine

09FOOD-0282,100,20141117,routine

09FOOD-0282,96,20140319,routine

09FOOD-0283,98,20150406,routine

09FOOD-0283,98,20141022,routine

09FOOD-0283,98,20140418,routine

09FOOD-0284,95,20140514,routine

09FOOD-0285,96,20150602,routine

09FOOD-0285,97,20150203,routine

09FOOD-0285,99,20141014,routine

09FOOD-0285,94,20140605,routine

09FOOD-0285,97,20140224,routine

09FOOD-0287,97,20150513,routine

09FOOD-0287,94,20141120,routine

09FOOD-0287,97,20140502,routine

09FOOD-0288,100,20150209,routine

09FOOD-0288,100,20141031,routine

09FOOD-0288,95,20140312,routine

09FOOD-0289,98,20150417,routine

09FOOD-0289,97,20141024,routine

09FOOD-0289,98,20140425,routine

09FOOD-0290,100,20150407,routine

09FOOD-0290,100,20141108,routine

09FOOD-0290,100,20140414,routine

09FOOD-0291,96,20150609,routine

09FOOD-0291,100,20150318,routine

09FOOD-0291,100,20140610,routine

09FOOD-0293,100,20150421,routine

09FOOD-0293,100,20140507,routine

09FOOD-0294,100,20150327,routine

09FOOD-0294,100,20141030,routine

09FOOD-0294,100,20140404,routine

09FOOD-0295,96,20150609,routine

09FOOD-0295,100,20150218,routine

09FOOD-0295,99,20140610,routine

09FOOD-0296,100,20150504,routine

09FOOD-0297,100,20150318,routine

09FOOD-0297,100,20140610,routine

09FOOD-0298,95,20150313,routine

09FOOD-0299,100,20150218,routine

09FOOD-0299,100,20140610,routine

09FOOD-0300,95,20150526,routine

09FOOD-0300,100,20150306,routine

09FOOD-0301,99,20150609,routine

09FOOD-0301,100,20150306,routine

09FOOD-0301,100,20140610,routine

09FOOD-0302,100,20150526,routine

09FOOD-0302,100,20150504,routine

09FOOD-0303,94,20150420,routine

09FOOD-0303,96,20140428,routine

09FOOD-0304,100,20150415,routine

09FOOD-0304,100,20141111,followup

09FOOD-0304,83,20141031,routine

09FOOD-0304,100,20141023,routine

09FOOD-0304,100,20140312,routine

09FOOD-0305,100,20150331,routine

09FOOD-0305,100,20141107,routine

09FOOD-0305,100,20140410,routine

09FOOD-0306,95,20150120,routine

09FOOD-0306,94,20140711,routine

09FOOD-0306,99,20140128,routine

09FOOD-0307,97,20150122,routine

09FOOD-0307,99,20140721,routine

09FOOD-0307,97,20140227,routine

09FOOD-0308,97,20150310,routine

09FOOD-0308,93,20140807,routine

09FOOD-0308,98,20140303,routine

09FOOD-0309,98,20150121,routine

09FOOD-0309,97,20140716,routine

09FOOD-0309,98,20140127,routine

09FOOD-0310,99,20141006,routine

09FOOD-0310,98,20140404,routine

09FOOD-0311,94,20140618,routine

09FOOD-0314,92,20150507,routine

09FOOD-0314,94,20150113,routine

09FOOD-0314,96,20140708,routine

09FOOD-0314,96,20140325,routine

09FOOD-0322,100,20150122,routine

09FOOD-0322,94,20140707,routine

09FOOD-0322,100,20140110,followup

09FOOD-0323,95,20150611,routine

09FOOD-0323,98,20150128,routine

09FOOD-0323,94,20140925,routine

09FOOD-0323,92,20140521,routine

09FOOD-0323,98,20140117,routine

09FOOD-0324,100,20140820,routine

09FOOD-0325,98,20150527,routine

09FOOD-0325,96,20150204,routine

09FOOD-0325,100,20141203,routine

09FOOD-0325,90,20140827,routine

09FOOD-0325,100,20140526,followup

09FOOD-0325,97,20140514,routine

09FOOD-0326,100,20141124,routine

09FOOD-0327,100,20141125,routine

09FOOD-0329,98,20150415,followup

09FOOD-0329,84,20150408,routine

09FOOD-0329,93,20141121,routine

09FOOD-0329,90,20140808,routine

09FOOD-0329,86,20140422,routine

09FOOD-0330,89,20150407,routine

09FOOD-0330,92,20141119,routine

09FOOD-0330,90,20140813,routine

09FOOD-0330,86,20140421,routine

09FOOD-0334,97,20150602,routine

09FOOD-0334,89,20150126,routine

09FOOD-0334,94,20140925,routine

09FOOD-0334,91,20140515,routine

09FOOD-0334,87,20140116,routine

09FOOD-0335,100,20150501,followup

09FOOD-0335,86,20150428,routine

09FOOD-0335,96,20140514,routine

09FOOD-0335,95,20140115,routine

09FOOD-0337,94,20150511,routine

09FOOD-0337,93,20150105,routine

09FOOD-0337,96,20140731,followup

09FOOD-0337,92,20140724,followup

09FOOD-0337,79,20140718,routine

09FOOD-0337,100,20140424,followup

09FOOD-0337,82,20140416,routine

09FOOD-0338,99,20150612,followup

09FOOD-0338,79,20150603,routine

09FOOD-0338,97,20150113,routine

09FOOD-0338,96,20140922,routine

09FOOD-0338,94,20140520,routine

09FOOD-0338,97,20140114,routine

09FOOD-0339,99,20141212,routine

09FOOD-0340,98,20150320,routine

09FOOD-0340,100,20141119,routine

09FOOD-0340,98,20140731,routine

09FOOD-0340,94,20140430,routine

09FOOD-0342,100,20150618,routine

09FOOD-0342,100,20141023,routine

09FOOD-0344,95,20150309,followup

09FOOD-0344,87,20150226,routine

09FOOD-0344,79,20141008,routine

09FOOD-0344,99,20140617,followup

09FOOD-0344,81,20140610,routine

09FOOD-0344,89,20140224,routine

09FOOD-0345,95,20150528,routine

09FOOD-0345,99,20150126,followup

09FOOD-0345,90,20150121,routine

09FOOD-0345,97,20140513,routine

09FOOD-0345,98,20140114,routine

09FOOD-0348,96,20150112,routine

09FOOD-0348,97,20140723,routine

09FOOD-0348,98,20140226,routine

09FOOD-0351,98,20150326,routine

09FOOD-0351,100,20141125,routine

09FOOD-0351,96,20140822,routine

09FOOD-0351,98,20140428,routine

09FOOD-0352,100,20150216,routine

09FOOD-0352,100,20140627,routine

09FOOD-0354,100,20150415,routine

09FOOD-0354,100,20141125,routine

09FOOD-0354,100,20140331,routine

09FOOD-0355,99,20150519,routine

09FOOD-0355,100,20141113,routine

09FOOD-0355,100,20140721,routine

09FOOD-0356,96,20150416,routine

09FOOD-0356,94,20141107,routine

09FOOD-0356,95,20140417,routine

09FOOD-0357,92,20150326,routine

09FOOD-0357,100,20141223,routine

09FOOD-0357,100,20140729,routine

09FOOD-0357,99,20140425,routine

09FOOD-0358,83,20150223,routine

09FOOD-0358,83,20141006,routine

09FOOD-0358,81,20140618,routine

09FOOD-0358,82,20140225,routine

09FOOD-0359,99,20150430,followup

09FOOD-0359,77,20150420,routine

09FOOD-0359,84,20140826,routine

09FOOD-0359,100,20140430,followup

09FOOD-0359,84,20140429,routine

09FOOD-0363,97,20150310,routine

09FOOD-0363,98,20141027,routine

09FOOD-0363,97,20140626,routine

09FOOD-0364,97,20150303,routine

09FOOD-0364,100,20141202,routine

09FOOD-0364,96,20140826,routine

09FOOD-0364,95,20140421,routine

09FOOD-0365,100,20150213,routine

09FOOD-0365,100,20140313,routine

09FOOD-0366,100,20150428,routine

09FOOD-0366,100,20141108,routine

09FOOD-0366,100,20140624,routine

09FOOD-0367,92,20150603,routine

09FOOD-0367,87,20150128,routine

09FOOD-0367,90,20140930,routine

09FOOD-0367,86,20140603,routine

09FOOD-0367,87,20140204,routine

09FOOD-0369,99,20150518,routine

09FOOD-0369,100,20141113,routine

09FOOD-0369,96,20140625,routine

09FOOD-0371,95,20150416,routine

09FOOD-0371,97,20141030,routine

09FOOD-0372,100,20150323,followup

09FOOD-0372,83,20150312,routine

09FOOD-0372,100,20141120,routine

09FOOD-0372,100,20140806,followup

09FOOD-0372,82,20140718,routine

09FOOD-0372,96,20140421,routine

09FOOD-0373,100,20150420,routine

09FOOD-0373,100,20141110,routine

09FOOD-0373,100,20140624,routine

09FOOD-0374,95,20150416,routine

09FOOD-0374,97,20141107,routine

09FOOD-0374,97,20140415,routine

09FOOD-0375,98,20150427,routine

09FOOD-0375,97,20141210,routine

09FOOD-0375,93,20140122,routine

09FOOD-0376,100,20141103,routine

09FOOD-0377,100,20141104,routine

09FOOD-0379,100,20140828,routine

09FOOD-0380,100,20150615,routine

09FOOD-0380,100,20141208,routine

09FOOD-0380,99,20140616,routine

09FOOD-0384,100,20150511,routine

09FOOD-0384,100,20141108,routine

09FOOD-0384,100,20140414,routine

