"business_id","score","date","description","type"
"PR0029006","98","20140917","","Routine"

"PR0032860","86","20151222","","Routine"

"PR0149971","99","20160405","","Routine"

"PR0039556","97","20150202","","Routine"

"PR0150634","100","20141201","","Routine"

"PR0011600","95","20150909","","Routine"

"PR0157143","95","20160414","","Routine"

"PR0015888","92","20140610","","Routine"

"PR0038392","92","20150601","","Routine"

"PR0036355","84","20141126","","Routine"

"PR0020049","96","20160205","","Routine"

"PR0024274","99","20150518","","Routine"

"PR0129460","90","20150812","","Routine"

"PR0036910","93","20151028","","Routine"

"PR0011673","96","20150515","","Routine"

"PR0016743","97","20141121","","Routine"

"PR0040580","100","20140617","","Routine"

"PR0127628","95","20150812","","Routine"

"PR0045107","97","20151030","","Routine"

"PR0007843","97","20160114","","Routine"

"PR0157433","95","20160114","","Routine"

"PR0043524","99","20150902","","Routine"

"PR0033888","100","20140812","","Routine"

"PR0149711","96","20150312","","Routine"

"PR0038007","90","20150923","","Routine"

"PR0005446","95","20150430","","Routine"

"PR0028911","100","20151030","","Routine"

"PR0020788","98","20141202","","Routine"

"PR0041550","94","20150303","","Routine"

"PR0014041","92","20150929","","Routine"

"PR0042303","100","20160412","","Routine"

"PR0023360","100","20150429","","Routine"

"PR0150037","100","20150507","","Routine"

"PR0170580","100","20151013","","Routine"

"PR0024605","92","20150605","","Routine"

"PR0001876","92","20140828","","Routine"

"PR0030141","91","20150909","","Routine"

"PR0013175","96","20141125","","Routine"

"PR0152084","98","20150623","","Routine"

"PR0031522","98","20150826","","Routine"

"PR0026506","96","20160408","","Routine"

"PR0012837","94","20150527","","Routine"

"PR0019828","90","20150217","","Routine"

"PR0167536","91","20150805","","Routine"

"PR0151387","100","20150317","","Routine"

"PR0014696","98","20160217","","Routine"

"PR0039842","96","20150507","","Routine"

"PR0041726","93","20140529","","Routine"

"PR0024529","97","20160517","","Routine"

"PR0023111","98","20150507","","Routine"

"PR0046779","97","20150219","","Routine"

"PR0014760","98","20150129","","Routine"

"PR0020461","91","20150922","","Routine"

"PR0006953","100","20150604","","Routine"

"PR0016914","93","20150115","","Routine"

"PR0014452","98","20150305","","Routine"

"PR0002710","92","20160401","","Routine"

"PR0038704","95","20151201","","Routine"

"PR0122222","90","20160426","","Routine"

"PR0036810","95","20140821","","Routine"

"PR0014978","98","20140610","","Routine"

"PR0022758","99","20150409","","Routine"

"PR0172675","98","20151216","","Routine"

"PR0035449","94","20150728","","Routine"

"PR0010951","96","20150813","","Routine"

"PR0019629","98","20141015","","Routine"

"PR0152270","95","20141021","","Routine"

"PR0148990","96","20150128","","Routine"

"PR0032462","95","20150722","","Routine"

"PR0028288","94","20150529","","Routine"

"PR0042943","98","20151103","","Routine"

"PR0163977","93","20160504","","Routine"

"PR0000966","93","20151020","","Routine"

"PR0043463","94","20150610","","Routine"

"PR0019066","97","20141216","","Routine"

"PR0001341","99","20151208","","Routine"

"PR0136905","100","20141120","","Routine"

